地区,地名,label,収集日,代替日
松任地域,松任A,容器包装プラスチック,20210101,20210108
松任地域,松任A,容器包装プラスチック,20210115,20210122
松任地域,松任A,資源ごみ（紙類、古着・布類・ペットボトル）,20210101,20210108
松任地域,松任A,燃やす粗大ごみ,20210101,20210108
松任地域,松任A,燃えないごみ,20210115,20210122
松任地域,松任A,資源ごみ（空き缶・空きびん）,20210115,20210122
松任地域,松任C,容器包装プラスチック,20210101,20210108
松任地域,松任C,容器包装プラスチック,20210115,20210122
松任地域,松任C,資源ごみ（紙類、古着・布類・ペットボトル）,20210101,20210108
松任地域,松任C,燃やす粗大ごみ,20210101,20210108
松任地域,松任C,燃えないごみ,20210115,20210122
松任地域,松任C,資源ごみ（空き缶・空きびん）,20210115,20210122
松任地域,林中・山島,容器包装プラスチック,20210108,20210115
松任地域,林中・山島,容器包装プラスチック,20210122,20210129
松任地域,林中・山島,資源ごみ（紙類、古着・布類・ペットボトル）,20210108,20210115
松任地域,林中・山島,燃やす粗大ごみ,20210108,20210115
松任地域,林中・山島,燃えないごみ,20210122,20210129
松任地域,林中・山島,資源ごみ（空き缶・空きびん）,20210122,20210129
美川地域,美川,容器包装プラスチック,20210109,20210116
美川地域,美川,容器包装プラスチック,20210127,20210130
美川地域,美川,燃やす粗大ごみ,20210102,20210109
美川地域,美川,燃えないごみ,20210102,20210109
美川地域,美川,資源ごみ（紙類・古着・布類）,20210109,20210116
美川地域,美川,資源ごみ（ペットボトル、空き缶、空きびん）,20210123,20210130
美川地域,蝶屋,容器包装プラスチック,20210109,20210116
美川地域,蝶屋,容器包装プラスチック,20210123,20210130
美川地域,蝶屋,燃やす粗大ごみ,20210116,20210123
美川地域,蝶屋,燃えないごみ,20210116,20210123
美川地域,蝶屋,資源ごみ（紙類・古着・布類）,20210109,20210116
美川地域,蝶屋,資源ごみ（ペットボトル、空き缶、空きびん）,20210123,20210130
美川地域,湊,容器包装プラスチック,20210109,20210116
美川地域,湊,容器包装プラスチック,20210123,20210130
美川地域,湊,燃やす粗大ごみ,20210109,20210116
美川地域,湊,燃えないごみ,20210109,20210116
美川地域,湊,資源ごみ（紙類・古着・布類）,20210109,20210116
美川地域,湊,資源ごみ（ペットボトル、空き缶、空きびん）,20210123,20210130
鶴来地域,舘畑,容器包装プラスチック,20210108,20210115
鶴来地域,舘畑,容器包装プラスチック,20210122,20210129
鶴来地域,舘畑,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,20210101,20210108
鶴来地域,舘畑,燃やす粗大ごみ,20210115,20210122
鶴来地域,舘畑,燃えないごみ,20210115,20210122
鶴来地域,林,容器包装プラスチック,20210101,20210108
鶴来地域,林,容器包装プラスチック,20210115,20210122
鶴来地域,林,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,20210108,20210115
鶴来地域,林,燃やす粗大ごみ,20210122,20210129
鶴来地域,林,燃えないごみ,20210122,20210129
白山ろく地域,河内,容器包装プラスチック,20210109,20210116
白山ろく地域,河内,容器包装プラスチック,20210123,20210130
白山ろく地域,河内,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,20210102,20210109
白山ろく地域,吉野谷（中宮除く）,容器包装プラスチック,20210109,20210116
白山ろく地域,吉野谷（中宮除く）,容器包装プラスチック,20210123,20210130
白山ろく地域,吉野谷（中宮除く）,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,20210102,20210109
白山ろく地域,吉野谷（中宮）鳥越（仏師ケ野）尾口（深瀬除く）,容器包装プラスチック,20210102,20210109
白山ろく地域,吉野谷（中宮）鳥越（仏師ケ野）尾口（深瀬除く）,容器包装プラスチック,20210116,20210123
白山ろく地域,吉野谷（中宮）鳥越（仏師ケ野）尾口（深瀬除く）,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,20210109,20210116
白山ろく地域,尾口（深瀬）白峰,容器包装プラスチック,20210102,20210109
白山ろく地域,尾口（深瀬）白峰,容器包装プラスチック,20210116,20210123
白山ろく地域,尾口（深瀬）白峰,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,20210109,20210116
