地域,地名,センター（center.csvを使わない場合は空白化）,燃やす一般ごみ,容器包装プラスチック,燃やす粗大ごみ,燃えないごみ,資源ごみ（紙類、古着・布類・ペットボトル）,資源ごみ（空き缶・空きびん）,資源ごみ（紙類・古着・布類）,資源ごみ（ペットボトル、空き缶、空きびん）,資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）
松任地域,松任A,,月 木,金1 金3,金1,金3,金1,金3,,,
松任地域,松任Ｂ・旭,,火 金,月1 月3,月1,月3,月1,月3,,,
松任地域,松任Ｃ,,水 土,金1 金3,金1,金3,金1,金3,,,
松任地域,石川・柏野,,水 土,火1 火3,火1,火3,火1,火3,,,
松任地域,笠間・宮保・加賀野,,水 土,木2 木4,木2,木4,木2,木4,,,
松任地域,出城・御手洗,,火 金,月2 月4,月2,月4,月2,月4,,,
松任地域,一木,,水 土,木1 木3,木1,木3,木1,木3,,,
松任地域,中奥・郷,,月 木,水1 水3,水1,水3,水1,水3,,,
松任地域,千代野,,火 金,木1 木3,木1,木3,木1,木3,,,
松任地域,林中・山島,,月 木,金2 金4,金2,金4,金2,金4,,,
美川地域,美川,,火 金,土2 土4,土1,土1,,,土2,土4,
美川地域,蝶屋,,水 土,土2 土4,土3,土3,,,土2,土4,
美川地域,湊,,月 木,土2 土4,土2,土2,,,土2,土4,
鶴来地域,一ノ宮,,火 金,月2 月4,月3,月3,,,,,月1
鶴来地域,鶴来,,水 土,月2 月4,月3,月3,,,,,月1
鶴来地域,舘畑,,月 木,金2 金4,金3,金3,,,,,金1
鶴来地域,蔵山,,火 金,月1 月3,月4,月4,,,,,月2
鶴来地域,林,,月 木,金1 金3,金4,金4,,,,,金2
白山ろく地域,河内,,火 金,土2 土4,水2,水2,,,,,土1
白山ろく地域,吉野谷（中宮除く）,,月 木,土2 土4,水2,水2,,,,,土1
白山ろく地域,鳥越（仏師ケ野除く）,,水 土,火1 火3,火4,火4,,,,,火2
白山ろく地域,吉野谷（中宮）鳥越（仏師ケ野）尾口（深瀬除く）,,月 木,土1 土3,水4,水4,,,,,土2
白山ろく地域,尾口（深瀬）白峰,,火 金,土1 土3,水4,水4,,,,,土2
