label,name,notice,furigana
資源ごみ（空きびん、空き缶、容プラ）,空きびん,※化粧びん、ガラス食器等「飲料、食料品用のびん」以外のものは燃えないごみへ中を必ず洗い、ふたをはずしてください。 無色、茶色、その他の色の3色に分けてください。一升びん、ビールびん等のリターナブルびんは販売店に出しましょう。,あ
資源ごみ（空きびん、空き缶、容プラ）,空き缶,中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,あ
資源ごみ（空きびん、空き缶、容プラ）,アルミ缶,中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,あ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,厚紙,種類別に束ねてください。ガムテープ等で束ねないでください。 ,あ
燃やす一般ごみ,アルミ箔容器,,あ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,厚紙,種類別に束ねてください。ガムテープ等で束ねないでください。 ,あ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,空きびん,※化粧びん、ガラス食器等「飲料、食料品用のびん」以外のものは燃えないごみへ中を必ず洗い、ふたをはずしてください。 無色、茶色、その他の色の3色に分けてください。一升びん、ビールびん等のリターナブルびんは販売店に出しましょう。,あ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,空き缶,中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,あ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,アルミ缶,中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,あ
資源ごみ（紙類、古着布類、容プラ）,厚紙,種類別に束ねてください。ガムテープ等で束ねないでください。 ,あ
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,空きびん,※化粧びん、ガラス食器等「飲料、食料品用のびん」以外のものは燃えないごみへ中を必ず洗い、ふたをはずしてください。 無色、茶色、その他の色の3色に分けてください。一升びん、ビールびん等のリターナブルびんは販売店に出しましょう。,あ
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,空き缶,中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,あ
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,アルミ缶,中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,あ
燃えないごみ,板ガラス,,い
燃やす粗大ごみ,枝木,剪定した枝木等は、長さ1m、太さ10cm以内に切って紐で縛って出してください。,え
燃えないごみ,オルガン,,お
燃やす一般ごみ,子どものおもちゃ,,お
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,紙類,種類別に束ねてください。ガムテープ等で束ねないでください。 ,か
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,紙箱,「雑誌・チラシ・厚紙」とあわせて出してください。,か
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,紙袋等,「雑誌・チラシ・厚紙」とあわせて出してください。,か
燃えないごみ,家電製品（リサイクル費用がかからないもの）,,か
燃えないごみ,傘,,か
燃やす一般ごみ,紙くず,紙おむつは必ず汚物をトイレに捨ててから、ビニール袋に入れてください。,か
燃やす一般ごみ,感熱紙,,か
燃やす一般ごみ,カイロ,,か
燃やす粗大ごみ,カーペット類,できるだけ金属の部分ははずしてください。,か
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,紙類,種類別に束ねてください。ガムテープ等で束ねないでください。 ,か
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,紙箱,「雑誌・チラシ・厚紙」とあわせて出してください。,か
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,紙袋等,「雑誌・チラシ・厚紙」とあわせて出してください。,か
資源ごみ（紙類、古着布類、容プラ）,紙類,種類別に束ねてください。ガムテープ等で束ねないでください。 ,か
資源ごみ（紙類、古着布類、容プラ）,紙箱,「雑誌・チラシ・厚紙」とあわせて出してください。,か
資源ごみ（紙類、古着布類、容プラ）,紙袋等,「雑誌・チラシ・厚紙」とあわせて出してください。,か
燃えないごみ,ガラスくずなど,※金属、ガラス、陶器を含む素材のもの,が
燃やす粗大ごみ,大量の草,,く
燃えないごみ,化粧びん,,け
燃えないごみ,蛍光灯,集積所にある専用の容器へ入れてください。,け
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,雑誌,種類別に束ねてください。ガムテープ等で束ねないでください。 ,さ
燃やす粗大ごみ,座椅子,できるだけ金属の部分ははずしてください。,さ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,雑誌,種類別に束ねてください。ガムテープ等で束ねないでください。 ,ざ
資源ごみ（紙類、古着布類、容プラ）,雑誌,種類別に束ねてください。ガムテープ等で束ねないでください。 ,ざ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,新聞,種類別に束ねてください。ガムテープ等で束ねないでください。 ,し
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,シーツ,透明又は半透明のビニール袋に入れて出してください。,し
燃えないごみ,自転車,廃棄と表示,し
燃えないごみ,食器,刃物類は危険がないよう刃先を紙か布で巻いて「刃物類」と書いてください。,し
燃やす一般ごみ,CD,,し
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,新聞,種類別に束ねてください。ガムテープ等で束ねないでください。 ,し
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,シーツ,透明又は半透明のビニール袋に入れて出してください。,し
資源ごみ（紙類、古着布類、容プラ）,新聞,種類別に束ねてください。ガムテープ等で束ねないでください。 ,し
資源ごみ（紙類、古着布類、容プラ）,シーツ,透明又は半透明のビニール袋に入れて出してください。,し
資源ごみ（空きびん、空き缶、容プラ）,スチール缶,※クッキー、海苔等の缶はスチール缶へ中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,す
燃えないごみ,スプレー缶,スプレー缶は必ず穴をあけ、それぞれ他のごみと区別してください。 ,す
燃えないごみ,スキー板,,す
燃えないごみ,ストック,,す
燃えないごみ,ステレオ,,す
燃えないごみ,水銀体温計,集積所にある専用の容器へ入れてください。,す
燃やす粗大ごみ,スーツケース,できるだけ金属の部分ははずしてください。,す
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,スチール缶,※クッキー、海苔等の缶はスチール缶へ中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,す
資源ごみ（ペットボトル、空きびん、空き缶、容プラ）,スチール缶,※クッキー、海苔等の缶はスチール缶へ中を必ず洗い、アルミとスチールに分けて出してください。※食用油の缶は燃えないごみへ,す
燃えないごみ,石油ストーブ,石油ストーブは乾電池をはずし、灯油を抜いてください。,せ
燃やす粗大ごみ,ソファ,できるだけ金属の部分ははずしてください。,そ
燃やす一般ごみ,ぞうきん,,ぞ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,段ボール,種類別に束ねてください。ガムテープ等で束ねないでください。 ,た
燃やす一般ごみ,台所ごみ,生ごみは、できるだけ水切りをしてください。 竹串は危なくないよう半分に折るなどしてください。 ,た
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,段ボール,種類別に束ねてください。ガムテープ等で束ねないでください。 ,だ
資源ごみ（紙類、古着布類、容プラ）,段ボール,種類別に束ねてください。ガムテープ等で束ねないでください。 ,だ
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,チラシ,種類別に束ねてください。ガムテープ等で束ねないでください。 ,ち
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,チラシ,種類別に束ねてください。ガムテープ等で束ねないでください。 ,ち
資源ごみ（紙類、古着布類、容プラ）,チラシ,種類別に束ねてください。ガムテープ等で束ねないでください。 ,ち
燃やす一般ごみ,天ぷら油（紙や布にしみこませて）,,て
燃えないごみ,電球,,で
燃えないごみ,乾電池・マンガン電池・アルカリ電池・リチウム電池・リチウムコイン電池（型番がCR・BRのもの）,燃えないごみ収集日の「電池回収箱」に入れてください。\n,で
燃えないごみ,ボタン電池・アルカリボタン電池（型番がLRのもの）・酸化銀電池（型番がSRのもの）・空気（亜鉛）電池（型番がPRのもの）,燃えないごみ収集日の「電池回収箱」または、販売店に設置されているボタン電池回収缶に一声かけてから入れてください。,で
燃えないごみ,小型充電式電池・ニカド電池・ニッケル水素電池・リチウムイオン電池・小型シール鉛蓄電池,燃えないごみ収集日の「電池回収箱」または、リサイクル協力店の黄色のリサイクルボックスに入れてください。,で
燃えないごみ,陶磁器,,と
燃えないごみ,鍋,,な
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,布類,透明又は半透明のビニール袋に入れて出してください。,ぬ
燃やす一般ごみ,布切れ,,ぬ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,布類,透明又は半透明のビニール袋に入れて出してください。,ぬ
資源ごみ（紙類、古着布類、容プラ）,布類,透明又は半透明のビニール袋に入れて出してください。,ぬ
燃えないごみ,農薬・劇薬品びん,,の
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,肌着等衣類,透明又は半透明のビニール袋に入れて出してください。,は
燃やす一般ごみ,はきもの（くつ）,,は
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,肌着等衣類,透明又は半透明のビニール袋に入れて出してください。,は
資源ごみ（紙類、古着布類、容プラ）,肌着等衣類,透明又は半透明のビニール袋に入れて出してください。,は
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,パック類,※感熱紙、レシート、カーボン紙や防水加工したもの等は燃やす一般ごみへ,ぱ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,パック類,※感熱紙、レシート、カーボン紙や防水加工したもの等は燃やす一般ごみへ,ぱ
資源ごみ（紙類、古着布類、容プラ）,パック類,※感熱紙、レシート、カーボン紙や防水加工したもの等は燃やす一般ごみへ,ぱ
燃やす一般ごみ,ビデオテープ,,び
資源ごみ（紙類、古着布類、ペットボトル、容プラ）,古着,透明又は半透明のビニール袋に入れて出してください。,ふ
燃やす一般ごみ,プラスチック製品,,ふ
燃やす粗大ごみ,ふとん,できるだけ金属の部分ははずしてください。,ふ
資源ごみ（紙類、古着・布類、ペットボトル、空き缶、あきびん）,古着,透明又は半透明のビニール袋に入れて出してください。,ふ
資源ごみ（紙類、古着布類、容プラ）,古着,透明又は半透明のビニール袋に入れて出してください。,ふ
